rank,model_name,model_status,benchmark_verified,eligible,safety_candidate,selection_tier,selection_score,accuracy,macro_f1,false_short_circuit_rate,short_circuit_recall,p95_latency_ms,estimated_cost_per_1000_queries_usd,coverage,metrics_path
1,calibrated_word_char_shape_linearsvc,real,True,False,True,provisional_safe,0.7890858983432688,0.78,0.7783919434083222,0.047619047619047616,0.5333333333333333,4.259520949989337,0.0,1.0,v1/artifacts/models/linearsvc/metrics.json
2,anthony_qwen2_5_3b_lora_intent_to_route,real,True,False,False,real_ineligible,0.32138256236587154,0.2733333333333333,0.1771464348871219,0.16666666666666666,0.06666666666666667,4150.59841980019,0.0,1.0,v1/artifacts/models/qwen/metrics.json
3,calibrated_word_char_shape_linearsvc_raw,diagnostic,True,False,False,diagnostic_only,0.8388612428185344,0.84,0.8401854778683479,0.1527777777777778,0.8133333333333334,4.259520949989337,0.0,1.0,v1/artifacts/models/linearsvc/raw_model/metrics.json
4,deterministic_rules_v1,diagnostic,True,False,False,diagnostic_only,0.37391618849960084,0.43333333333333335,0.39301240541998833,0.6363636363636364,0.16,0.010214500009197993,0.0,1.0,v1/artifacts/models/rules/metrics.json
