,precision,recall,f1-score,support
short_circuit,0.8333333333333334,0.06666666666666667,0.12345679012345678,75.0
medium,0.3225806451612903,0.13333333333333333,0.18867924528301888,75.0
complex,0.0,0.0,0.0,75.0
llm_needed,0.25475285171102663,0.8933333333333333,0.39644970414201186,75.0
accuracy,0.2733333333333333,0.2733333333333333,0.2733333333333333,0.2733333333333333
macro avg,0.3526667075514126,0.2733333333333333,0.1771464348871219,300.0
weighted avg,0.35266670755141255,0.2733333333333333,0.1771464348871219,300.0
