variant,high_strategy,use_persona,model_name,random_accuracy,random_avg_confidence,grouped_accuracy,grouped_avg_confidence,rows_used,unique_queries
drop_high_query_plus_persona,drop,True,lsa_logreg,0.7187222715173026,0.6614856168629709,0.7284983728498373,0.6374473056165622,11267,7966
high_to_complex_query_only,to_complex,False,char_word_logreg,0.7680345572354211,0.7269936487301778,0.7281964436917866,0.6703700401287235,11575,8265
high_to_complex_query_only,to_complex,False,linear_svc_calibrated,0.7740820734341253,0.7690269346423718,0.7273497036409822,0.6339263366897272,11575,8265
high_to_complex_query_plus_persona,to_complex,True,sgd_log,0.7749460043196544,0.8229344406090267,0.7265029635901779,0.7867043446216336,11575,8265
high_to_llm_query_plus_persona,to_llm_needed,True,sgd_log,0.7848812095032397,0.8233421056199982,0.7260795935647756,0.7837080026237095,11575,8265
high_to_complex_query_only,to_complex,False,linear_svc_stats,0.7784017278617711,0.6001363033516727,0.7252328535139713,0.5679537290563187,11575,8265
high_to_llm_query_plus_persona,to_llm_needed,True,char_word_logreg,0.772354211663067,0.7251779852328426,0.7243861134631668,0.6778980303336811,11575,8265
high_to_complex_query_plus_persona,to_complex,True,char_word_logreg,0.7758099352051836,0.7297488034907256,0.7214225232853514,0.6791338470731576,11575,8265
high_to_llm_query_only,to_llm_needed,False,sgd_log,0.7706263498920086,0.8157723702291961,0.7209991532599492,0.7868238006240396,11575,8265
drop_high_query_only,drop,False,lsa_logreg,0.7129547471162379,0.6576496914606536,0.7205950720595072,0.6287756725521709,11267,7966
high_to_llm_query_plus_persona,to_llm_needed,True,word_logreg,0.76414686825054,0.6818919475060871,0.7197290431837426,0.6348274256118712,11575,8265
high_to_llm_query_only,to_llm_needed,False,linear_svc_stats,0.7758099352051836,0.5981731232838473,0.7188823031329382,0.5721024508251874,11575,8265
high_to_complex_query_only,to_complex,False,sgd_log,0.7732181425485961,0.8252660378374456,0.7188823031329382,0.7908775216033551,11575,8265
high_to_llm_query_only,to_llm_needed,False,word_logreg,0.7602591792656588,0.6800633320663377,0.7167654530059272,0.6259260837253607,11575,8265
high_to_complex_query_plus_persona,to_complex,True,linear_svc_calibrated,0.7809935205183586,0.7737208166119688,0.7150719729043183,0.6287340051878877,11575,8265
high_to_llm_query_only,to_llm_needed,False,linear_svc_calibrated,0.7775377969762419,0.7632675885104404,0.7150719729043183,0.6271612670176131,11575,8265
high_to_llm_query_only,to_llm_needed,False,char_word_logreg,0.7632829373650108,0.7226774168652151,0.7150719729043183,0.6697164850149605,11575,8265
high_to_complex_query_plus_persona,to_complex,True,word_logreg,0.7645788336933045,0.6879621386455764,0.7146486028789162,0.6366988160484275,11575,8265
high_to_llm_query_plus_persona,to_llm_needed,True,linear_svc_calibrated,0.7844492440604751,0.7684933871762475,0.7108382726502963,0.6205027579598273,11575,8265
high_to_complex_query_plus_persona,to_complex,True,word_cnb,0.7572354211663067,0.6215408610343864,0.6972904318374259,0.5672885734184803,11575,8265
high_to_llm_query_plus_persona,to_llm_needed,True,linear_svc_stats,0.7870410367170626,0.5996148928688213,0.6968670618120237,0.5241319801056251,11575,8265
high_to_llm_query_plus_persona,to_llm_needed,True,word_cnb,0.7533477321814255,0.6167891473236562,0.6913632514817951,0.5688327802279426,11575,8265
drop_high_query_plus_persona,drop,True,word_nb,0.7204968944099379,0.8196431219828834,0.6861924686192469,0.7991052040657324,11267,7966
drop_high_query_only,drop,False,word_nb,0.7169476486246673,0.8020709238678428,0.6829381682938168,0.7829390078346704,11267,7966
high_to_complex_query_only,to_complex,False,word_cnb,0.745572354211663,0.6033514327785789,0.682895850973751,0.5548378576904324,11575,8265
high_to_llm_query_only,to_llm_needed,False,word_cnb,0.7352051835853132,0.5998699696838753,0.6803556308213379,0.5564199512269842,11575,8265
high_to_complex_query_plus_persona,to_complex,True,lsa_logreg,0.7196544276457884,0.6611351904279545,0.6685012701100762,0.6064129339985217,11575,8265
high_to_llm_query_plus_persona,to_llm_needed,True,lsa_logreg,0.7084233261339092,0.6534384770374037,0.6613039796782387,0.6037579607469433,11575,8265
high_to_complex_query_only,to_complex,False,lsa_logreg,0.7196544276457884,0.6526437563212658,0.6558001693480101,0.5963351750285515,11575,8265
high_to_llm_query_only,to_llm_needed,False,lsa_logreg,0.6967602591792657,0.6486472475347151,0.6502963590177815,0.5927053593820928,11575,8265
high_to_complex_query_plus_persona,to_complex,True,word_nb,0.7140388768898488,0.8127429935868343,0.632514817950889,0.7955274422768132,11575,8265
high_to_llm_query_plus_persona,to_llm_needed,True,word_nb,0.7114470842332613,0.811756651752043,0.6320914479254869,0.7967305876195725,11575,8265
high_to_complex_query_only,to_complex,False,word_nb,0.7079913606911447,0.7933686046369771,0.6320914479254869,0.7773861464032868,11575,8265
high_to_llm_query_only,to_llm_needed,False,word_nb,0.7079913606911447,0.791885304486969,0.6278577476714648,0.777689648205579,11575,8265
